URL,Title,Price_Raw,Année-Modèle,Boite de vitesses,Type de carburant,Kilométrage,Marque,Modèle,Nombre de portes,Origine,Première main,Puissance fiscale,État
https://www.avito.ma/fr/centre/voitures_d_occasion/SMART_FORFOUR_1_0_PASSION_AUTOMATIC_2017_D%C3%89DOUAN%C3%89E_51411477.htm,SMART FORFOUR 1.0 PASSION AUTOMATIC 2017 DÉDOUANÉE,178 000 DH,2017,Automatique,Essence,75000,Smart,Forfour,5,Dédouanée,Oui,6 CV,Excellent
https://www.avito.ma/fr/zerhounia/voitures_d_occasion/RENAULT_CLIO_M2022_56387788.htm,RENAULT CLIO M2022,Demander le prix,2022,Manuelle,Diesel,110000,Renault,Clio,5,WW au Maroc,Non,6 CV,Excellent
https://www.avito.ma/fr/zerhounia/voitures_d_occasion/MERCEDES_CLASS_C_M2016_D2025_56387729.htm,MERCEDES CLASS C M2016 D2025,Demander le prix,2016,Automatique,Diesel,250000,Mercedes-Benz,Classe C,5,Dédouanée,Non,6 CV,Excellent
https://www.avito.ma/fr/hay_zaytoun/voitures_d_occasion/Dokker_2016_57030842.htm,Dokker 2016,125 000 DH,2016,Manuelle,Diesel,166,Dacia,Dokker,5,WW au Maroc,Oui,6 CV,Neuf
https://www.avito.ma/fr/centre_ville/voitures_d_occasion/Seat_Leon_Cupra_Essence_56219235.htm,Seat Leon Cupra Essence,Demander le prix,2018,Automatique,Essence,130000,Seat,Leon,5,Importée neuve,Oui,11 CV,Très bon
https://www.avito.ma/fr/autre_secteur/voitures_d_occasion/Nissan_Micra_56162834.htm,Nissan Micra,Demander le prix,2021,Manuelle,Diesel,80000,Nissan,Micra,5,WW au Maroc,Oui,6 CV,Excellent
https://www.avito.ma/fr/oulfa/voitures_d_occasion/Ford_Fiesta_Titanium_57261822.htm,Ford Fiesta Titanium,118 000 DH,2013,Manuelle,Diesel,90000,Ford,Fiesta,5,WW au Maroc,Non,6 CV,Excellent
https://www.avito.ma/fr/ain_sebaa/voitures_d_occasion/Renault_Clio_5_intense_toute_option_mod%C3%A8le_2024_57126278.htm,Renault Clio 5 intense toute option modèle 2024,183 000 DH,2024,Manuelle,Diesel,50000,Renault,Clio,5,WW au Maroc,Oui,6 CV,Excellent
https://www.avito.ma/fr/ain_sebaa/voitures_d_occasion/Hyundai_Tucson_Diesel_Automatique_2022_56906311.htm,Hyundai Tucson Diesel Automatique 2022,250 000 DH,2022,Automatique,Diesel,80000,Hyundai,Tucson,5,WW au Maroc,Oui,6 CV,Excellent
https://www.avito.ma/fr/narjis/voitures_d_occasion/Audi_Q5_sport_parg_57234511.htm,Audi Q5 sport parg,720 000 DH,2022,Automatique,Diesel,85000,Audi,Q5,5,Dédouanée,Oui,8 CV,Excellent
https://www.avito.ma/fr/oulfa/voitures_d_occasion/Kia_Picanto_Essence_Manuelle_2020_%C3%A0_Casablanca_57310683.htm,Kia Picanto Essence Manuelle 2020 à Casablanca,113 000 DH,2020,Manuelle,Essence,50000,Kia,Picanto,5,WW au Maroc,Oui,6 CV,Excellent
https://www.avito.ma/fr/narjis/voitures_d_occasion/Nissan_qashqai_automatique_57318323.htm,Nissan qashqai automatique,219 000 DH,2021,Automatique,Diesel,95000,Nissan,Qashqai,5,WW au Maroc,Oui,6 CV,Excellent
https://www.avito.ma/fr/mozart/voitures_d_occasion/____Volkswagen_Touran_2_0_TDi_DSG_2020_diwana_24_57269557.htm,🇩🇪Volkswagen Touran 2.0 TDi DSG 2020 diwana 24,320 000 DH,2020,Automatique,Diesel,190000,Volkswagen,Touran,5,Dédouanée,Non,8 CV,Excellent
